"Gene","CpG","Coef_CpG","Coef_Age","Coef_Gender","p_CpG","p_Age","p_Gender","R2"
"84332","cg10539122",5.180381636139,-0.0117143046469819,-0.198615759896932,1.581303545e-05,0.341056439252561,0.373796181908385,0.759810439487318
"84332","cg20785674",-4.12824900628184,-0.00832842637761084,-0.0750635343352324,7.61967857588375e-06,0.468380808115102,0.711485871459773,0.783174445355717
"84332","cg25610281",5.17874497795399,-0.018659415274832,-0.0543421636941112,7.92809822679002e-05,0.19513628552441,0.820016176341939,0.699224084926745
"84332","cg09396490",5.7460848021546,-0.00926404456853546,-0.360717826632722,2.603451314831e-05,0.461093824900445,0.148236842980786,0.742463975777178
"84332","cg03826704",-4.64396635691006,-0.00368719998475755,-0.0528112846289024,2.62270506973495e-06,0.724591180819968,0.777527061375131,0.813358381628397
"84332","cg25883013",4.52724068659161,-0.00526508559565196,-0.00793768624288701,0.000974636954393853,0.740929526324719,0.977633731444188,0.574927313342455
"84332","cg02473847",-4.93061232953519,-0.0168801155346094,0.0343057418123009,3.79849973006642e-05,0.211739212070788,0.877382074303402,0.728516903632146
"84332","cg18361915",5.21791482253212,-0.0123479149873069,-0.168284677956228,2.58517176375701e-05,0.33383288214674,0.461569063332578,0.742717392780465
"84332","cg10277551",4.48313840468355,-0.00707293459329879,0.06234717723308,6.11203868719428e-06,0.52936615565232,0.748735896132529,0.789782526244853
"84332","cg02628016",4.72254902851305,-0.0144342652524466,-0.21251768569089,3.14970307465096e-05,0.271353695977347,0.36778372718745,0.735521027798996
"84332","cg03819192",4.24419067017321,-0.0113016175117159,-0.0730474499782202,8.43740478572966e-06,0.336267636117583,0.720709344060344,0.780050799780462
"84332","cg11523221",4.32567814732904,-0.0111335502362823,-0.0866450685065042,8.15351381979909e-06,0.341887708465407,0.671978397607849,0.781104414142452
"84332","cg21951877",4.08458336047399,-0.00666355288837541,-0.0550388671876771,1.80170895778635e-05,0.582063390772134,0.797685025354964,0.755383743712451
"84332","cg00452133",5.11570081346956,-0.0166666151865921,-0.228751110608345,2.04642713550394e-05,0.197699641004128,0.320732661232908,0.750986588235295
"84332","cg05180627",-5.15446769996634,-0.00816605079953072,0.0767170115470672,3.39315742681631e-06,0.451600182911769,0.680852914431194,0.806470399495251
"84332","cg15844989",4.29063525686741,-0.00580053814922685,-0.116782269840431,3.3525197728421e-05,0.645348398988956,0.609545341938811,0.733207069477777
"84332","cg22892043",4.94592989132907,-0.00760143257895265,-0.0768723742912967,1.6783498799334e-05,0.529702976128997,0.72054673371124,0.7577995953929
